Id,file_path,language
3666,D:/AudioFile/Malayalam/3666.mp3,Malayalam
12364,D:/AudioFile/Hindi/12364.mp3,Hindi
8940,D:/AudioFile/Malayalam/8940.mp3,Malayalam
3565,D:/AudioFile/Malayalam/3565.mp3,Malayalam
5273,D:/AudioFile/Malayalam/5273.mp3,Malayalam
15986,D:/AudioFile/Hindi/15986.mp3,Hindi
16214,D:/AudioFile/Hindi/16214.mp3,Hindi
16429,D:/AudioFile/Malayalam/16429.mp3,Malayalam
17056,D:/AudioFile/Hindi/17056.mp3,Hindi
13409,D:/AudioFile/Hindi/13409.mp3,Hindi
21035,D:/AudioFile/Hindi/21035.mp3,Hindi
6280,D:/AudioFile/Hindi/6280.mp3,Hindi
5144,D:/AudioFile/Hindi/5144.mp3,Hindi
11898,D:/AudioFile/Malayalam/11898.mp3,Malayalam
20038,D:/AudioFile/Malayalam/20038.mp3,Malayalam
23940,D:/AudioFile/Malayalam/23940.mp3,Malayalam
20900,D:/AudioFile/Hindi/20900.mp3,Hindi
14709,D:/AudioFile/Malayalam/14709.mp3,Malayalam
3858,D:/AudioFile/Hindi/3858.mp3,Hindi
19755,D:/AudioFile/Hindi/19755.mp3,Hindi
17428,D:/AudioFile/Hindi/17428.mp3,Hindi
4854,D:/AudioFile/Malayalam/4854.mp3,Malayalam
14846,D:/AudioFile/Hindi/14846.mp3,Hindi
12767,D:/AudioFile/Hindi/12767.mp3,Hindi
24635,D:/AudioFile/Malayalam/24635.mp3,Malayalam
20861,D:/AudioFile/Hindi/20861.mp3,Hindi
12395,D:/AudioFile/Hindi/12395.mp3,Hindi
8160,D:/AudioFile/Malayalam/8160.mp3,Malayalam
21877,D:/AudioFile/Malayalam/21877.mp3,Malayalam
15056,D:/AudioFile/Malayalam/15056.mp3,Malayalam
1593,D:/AudioFile/Hindi/1593.mp3,Hindi
25334,D:/AudioFile/Malayalam/25334.mp3,Malayalam
13941,D:/AudioFile/Hindi/13941.mp3,Hindi
2412,D:/AudioFile/Hindi/2412.mp3,Hindi
24408,D:/AudioFile/Malayalam/24408.mp3,Malayalam
25016,D:/AudioFile/Malayalam/25016.mp3,Malayalam
13291,D:/AudioFile/Hindi/13291.mp3,Hindi
22232,D:/AudioFile/Hindi/22232.mp3,Hindi
10398,D:/AudioFile/Malayalam/10398.mp3,Malayalam
15081,D:/AudioFile/Malayalam/15081.mp3,Malayalam
